TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,TO_DIFF,
UMBC,AE,32,24,107.6,109.2,0.4555,53.9,49.2,14.1,15.2,25.1,25.6,33.8,25.2,54.0,49.7,35.9,32.2,66,-5.1,,16,0.7,
Howard,MEAC,33,23,103.4,106.2,0.4240,50.6,47.4,19.8,21.3,36.6,32.0,44.2,38.3,49.9,48.3,34.7,30.4,69,-6.9,,16,1.5,
Texas,SEC,32,18,124.1,106.4,0.8541,54.2,51.2,15.3,13.4,35.7,26.9,46.2,40.7,55.3,49.8,34.9,36.0,67.1,-0.21,,11,-1.6,
NC State,ACC,33,20,124.1,104.6,0.8766,55.3,53.0,13.1,18.2,28.5,30.3,35.2,36.5,53.1,52.7,38.8,35.6,69.1,0.34,,11,3.5,
Lehigh,PAT,34,18,102.6,112.8,0.2516,53.3,50.6,17.5,16.3,22.8,31.7,32.2,32.8,52.4,51.2,36.5,32.8,66.9,-12.0,,16,-0.8,
Prairie View A&M,SWAC,35,18,101.4,111.4,0.2536,47.9,50.4,16.0,19.1,27.1,34.8,42.8,43.9,47.0,49.4,33.2,35.0,70.9,-12.6,,16,3.4,
SMU,ACC,33,20,123,105,0.8615,55.7,51.4,15.9,17.1,35.4,31.6,30.6,32.0,55.5,52.0,37.4,33.9,68.6,-0.03,,11,0.9,
Miami Ohio,MAC,32,31,116.7,107.6,0.7178,59.2,50.8,14.5,17.5,25.3,28.1,40.2,30.9,61.5,51.6,37.5,33.0,69.9,2.5,,11,2.4,
Duke,ACC,34,32,128.1,90.8,0.9813,56.8,46.2,15.7,18.1,38.1,24.8,37.8,23.7,60.1,46.6,35.1,30.4,65.8,13.7,,1,1.6,
Siena,MAAC,34,23,107.2,108.9,0.4549,50.6,48.6,16.0,17.1,31.9,29.0,34.2,27.2,52.8,48.2,30.4,32.8,64.6,-7.8,,16,0.7,
Ohio St.,B10,33,21,125.2,101.6,0.9171,56.5,50.3,15.4,15.8,30.8,30.0,37.8,35.1,58.2,52.3,36.0,31.6,66.2,2.9,,8,0.2,
TCU,B12,33,22,114.9,99.6,0.8366,50.9,51.0,15.5,19.7,34.4,29.2,38.7,30.4,51.6,51.3,33.1,33.7,67.6,2.4,,9,2.9,
St. John’s,BE ,34,28,119.8,94.1,0.9415,51.0,47.4,14.7,19.4,35.9,30.2,41.9,31.8,51.6,47.5,33.2,31.3,69.6,7.3,,5,3.2,
Northern Iowa,MVC,35,23,109.7,98.6,0.7745,54.2,47.2,14.6,18.1,22.0,26.3,25.7,29.3,55.3,50.0,34.9,28.9,62.2,-5.3,,12,2.08,
Kansas,B12,33,23,117.8,94.4,0.9279,51.6,45.2,15.5,14.0,29.5,30.1,32.6,27.7,51.1,44.7,35.0,30.7,67.6,6.3,,4,-1.1,
Cal Baptist,WAC,33,25,107.5,100.3,0.6889,48.6,46.4,18.1,17.1,37.8,27.2,36.1,37.1,47.7,47.3,33.7,29.7,65.9,-2.3,,13,-0.7,
Louisville,ACC,33,23,124.0,98.2,0.9364,56.4,48.8,16.4,16.7,32.9,26.9,33.5,33.4,59.7,48.6,35.7,32.7,69.7,4.0,,6,0.2,
South Florida,Amer,33,25,116.8,101.4,0.8353,50.9,48.4,15.2,18.8,38.2,31.8,41.1,38.8,51.9,46.7,33.1,33.9,71.4,-0.25,,11,3.1,
Michigan St.,B10,32,25,122.9,96.2,0.9437,53.6,48.6,17.1,14.8,38.5,22.6,36.2,30.9,53.4,48.0,35.9,32.9,66.0,7.4,,3,-1.6,
North Dakota St.,Sum,34,27,111.4,106.0,0.6392,53.4,51.5,15.6,18.7,33.6,25.7,30.7,29.1,53.2,52.6,35.7,33.5,66.4,-3.4,,14,2.9,
UCLA,B10,34,23,124.5,101.8,0.9106,53.9,50.4,13.4,18.1,31.1,32.4,33.1,34.7,52.0,52.7,38.2,31.8,64.7,3.6,,7,3.1,
UCF,B12,32,21,120.0,105.7,0.8117,52.8,52.4,15.7,15.8,34.4,28.5,30.8,35.2,52.1,53.2,36.2,34.0,69.1,2.1,,10,0.1,
Connecticut,BE,34,29,123.1,95.0,0.9518,55.3,45.7,16.8,18.0,35.7,28.7,30.0,40.2,57.1,45.8,35.2,30.3,64.6,8.8,,2,1.1,
Furman,SC,34,22,106.9,109.0,0.4442,54.8,50.1,17.8,13.7,31.0,27.5,32.1,28.9,59.0,50.9,33.3,32.6,65.8,-8.7,,15,-2.3,
Arizona,B10,34,31,126.9,91.4,0.9776,55.1,45.0,15.1,16.7,38.1,26.9,42.9,27.7,55.4,43.8,36.0,31.4,70.0,13.7,,1,1.1,
Long Island,NEC,34,24,103.6,109.8,0.3407,53.3,49.8,19.0,18.9,34.3,32.6,34.7,34.1,52.9,50.8,36.1,31.9,67.8,-5.8,,16,-0.1,
Villanova,BE,32,24,119.6,100.5,0.8805,53.7,51.3,15.1,18.7,32.4,31.7,31.3,28.9,54.4,51.5,35.3,33.9,64.9,3.9,,8,2.5,
Utah St.,MWC,34,28,123.0,102.1,0.8953,56.6,49.6,15.4,20.6,33.1,32.2,38.7,38.9,59.3,48.7,35.1,33.9,67.6,4.0,,9,3.6,
Wisconsin,B10,34,24,127.2,101.6,0.9294,54.5,51.3,12.8,14.4,29.4,28.2,31.9,30.5,54.8,52.3,36.1,33.3,68.7,5.4,,5,1.1,
High Point,BSth,34,30,115.7,107.5,0.6991,54.7,50.1,13.0,21.9,32.1,31.7,42.9,36.4,57.1,51.6,34.4,31.9,69.9,-1.4,,12,7.1,
Arkansas,SEC,34,26,127.9,101.7,0.9337,56.5,51.4,12.3,15.7,32.2,31.2,36.4,31.3,55.6,53.7,38.9,31.7,71.0,7.5,,4,2.5,
Hawaii,BW,32,24,106.9,101.8,0.6355,52.0,46.4,18.9,16.9,31.4,25.0,42.4,36.1,55.0,46.6,31.6,30.7,69.6,-3.7,,13,-1.2,
BYU,B12,34,23,124.7,104.3,0.8865,54.7,51.2,15.3,16.5,34.6,29.3,34.2,28.9,56.2,50.0,34.9,35.3,69.8,4.5,,6,0.8,
Gonzaga,WCC,33,30,120.3,94.0,0.9445,56.3,46.2,13.7,20.5,34.8,25.9,31.1,31.0,58.7,46.2,34.0,30.8,68.9,7.4,,3,4.8,
Kennesaw St.,CUSA,34,21,110.8,109.5,0.5338,50.7,48.5,16.7,16.1,35.5,31.3,45.1,47.5,50.8,47.0,33.7,33.9,71.3,-8.0,,14,0.3,
Miami FL,ACC,33,25,121.1,101.5,0.8843,55.6,51.7,16.2,18.4,37.0,26.3,37.5,29.0,57.2,50.8,34.7,35.4,67.9,3.9,,7,1.5,
Missouri,SEC,32,20,119.9,103.0,0.8515,55.3,51.4,18.0,16.6,35.5,31.4,42.5,35.1,56.9,48.9,35.0,36.5,66.4,1.2,,10,-1,
Purdue,B10,35,27,133.3,100.3,0.9636,57.6,52.3,13.5,15.6,36.3,26.4,28.6,26.0,58.1,53.1,37.9,34.2,64.4,9.2,,2,1.4,
Queens NC,ASun,34,21,114.7,117.1,0.4397,56.6,54.0,14.8,15.0,30.4,33.0,36.3,38.7,59.0,54.1,35.9,35.8,69.5,-7.0,,15,0.2,
Florida,SEC,33,26,126.1,92.3,0.9732,53.5,46.3,16.5,15.4,43.2,24.8,39.1,34.0,57.9,45.2,30.8,32.4,70.4,8.5,,1,-0.8,
Clemson,ACC,34,24,116.6,97.0,0.8923,52.6,48.9,14.2,17.5,28.1,25.7,37.1,33.1,53.8,49.0,34.1,32.6,64.3,3.2,,8,2.1,
Iowa,B10,33,21,122.1,100.2,0.9069,56.6,52.7,15.2,21.0,30.1,28.0,34.5,39.1,58.7,54.0,35.7,33.7,63.0,2.0,,9,3.7,
Vanderbilt,SEC,34,26,127.5,99.3,0.9461,55.3,48.8,13.3,17.9,31.2,31.6,38.2,41.0,56.8,49.1,35.5,32.2,69.0,7.3,,5,3.3,
McNeese St.,Slnd,33,28,113.2,102.2,0.7644,51.0,48.9,14.3,24.6,35.0,35.0,38.3,42.1,52.9,49.1,31.6,32.5,66.1,0.7,,12,7.3,
Nebraska,B10,32,26,117.2,93.5,0.9310,55.4,47.8,14.4,19.2,26.3,27.7,27.2,24.8,58.1,50.6,35.3,29.9,66.8,7.5,,4,3.1,
Troy,SB,33,22,110.7,109.0,0.5437,51.9,50.1,17.0,16.9,34.8,31.6,36.3,32.1,53.7,52.0,33.2,31.3,65.1,-6.1,,13,0.8,
North Carolina,ACC,32,24,21.4,100.0,0.9030,54.6,48.2,14.0,13.6,31.4,28.1,37.4,23.8,56.7,46.1,34.5,34.5,68.0,4.9,,6,-0.3,
VCU,A10,34,27,119.3,103.1,0.8430,54.1,48.9,15.2,17.2,32.3,29.9,43.7,33.1,53.3,48.4,36.7,33.1,68.7,1.7,,11,1.4,
Illinois,B10,32,24,131.9,98.2,0.9676,55.1,47.6,13.2,11.6,38.7,27.0,32.9,20.6,58.2,48.0,34.7,31.4,65.7,6.6,,3,-1.1,
Penn,Ivy,29,18,106.6,105.4,0.5315,50.3,51.7,15.4,17.8,30.3,30.5,35.2,27.5,46.2,54.4,38.7,31.7,69.0,-6.0,,14,1.7,
Saint Mary’s,WCC,32,27,119.4,97.6,0.9105,52.9,46.7,16.4,15.2,37.6,23.8,35.8,25.7,50.2,46.6,38.6,31.2,65.3,4.0,,7,-0.5,
Texas A&M,SEC,32,21,119.9,101.4,0.8726,54.2,50.8,14.6,18.3,32.3,32.5,37.4,35.6,54.1,53.1,36.2,31.7,71.0,1.6,,10,2.7,
Houston,B12,34,28,125.4,92.4,0.9709,52.1,46.6,13.0,21.0,35.9,30.9,26.9,39.0,51.9,45.5,34.9,32.1,63.3,9.0,,2,5.2,
Idaho,BSky,35,21,108.8,106.2,0.5703,51.9,50.3,15.0,15.2,28.9,24.2,34.8,39.2,52.0,49.3,34.5,34.8,67.4,-8.9,,15,0.3,
Michigan,B10,34,31,127.6,91.0,0.9799,58.1,44.7,16.7,15.5,35.4,27.7,37.7,26.3,61.0,44.3,36.0,30.2,71.2,14.0,,1,-0.9,
Georgia,SEC,32,22,124.3,104.8,0.8776,54.6,50.1,14.3,18.4,35.2,34.9,37.0,30.8,57.3,49.9,34.1,33.7,72.0,2.6,,8,3.1,
Saint Louis,A10,33,28,119.5,102.2,0.8579,59.7,44.8,17.4,16.1,31.1,27.0,34.7,37.2,58.9,44.6,40.5,30.0,71.0,1.9,,9,-0.8,
Texas Tech,B12,32,22,126.3,98.8,0.9439,56.2,49.4,15.9,14.7,33.3,30.1,27.1,31.6,53.6,50.6,39.3,31.5,66.4,5.1,,5,-0.8,
Akron,MAC,34,29,117.2,105.4,0.7726,58.5,50.6,15.5,18.4,33.5,29.9,29.1,30.3,59.1,49.0,38.5,35.1,70.3,-0.20,,12,2.6,
Alabama,SEC,32,23,29.5,102.8,0.9344,55.4,49.2,13.0,12.6,31.8,32.8,37.2,32.7,57.3,48.6,35.8,33.5,73.1,6.6,,4,-0.3,
Hofstra,CAA,34,24,113.2,104.9,0.7049,51.5,45.9,16.1,15.0,34.9,30.5,32.5,35.4,48.6,44.2,36.8,32.3,64.7,-4.7,,13,-0.5,
Tennessee,SEC,33,22,121.5,95.5,0.9408,51.6,47.7,17.1,16.3,45.1,27.9,38.7,36.2,52.2,49.2,33.4,30.6,65.2,4.1,,6,-0.6,
Virginia,ACC,34,29,122.3,95.8,0.9427,54.6,45.3,16.0,15.6,37.9,29.2,33.0,33.0,55.2,44.7,35.9,30.9,65.6,7.8,,3,-0.3,
Wright St.,Horz,34,23,112.4,109.0,0.5864,54.4,52.1,16.3,16.5,33.2,29.2,38.0,33.5,54.5,52.9,36.1,33.6,67.0,-6.6,,14,0.7,
Kentucky,SEC,34,21,119.9,100.0,0.8900,53.1,48.8,15.0,15.8,33.8,30.1,37.5,37.0,54.4,49.6,34.1,31.6,68.3,3.3,,7,0.6,
Santa Clara,WCC,34,26,125.0,103.7,0.8952,54.6,51.8,15.6,20.1,36.7,32.3,25.8,38.3,56.5,53.2,34.9,33.0,69.3,2.1,,10,3.2,
Iowa St.,B12,34,27,123.8,92.6,0.9655,56.5,49.5,15.1,22.4,35.3,28.1,34.0,27.9,55.5,50.5,38.7,32.1,67.0,7.4,,2,5,
Tennessee St.,OVC,32,23,107.8,111.9,0.3944,50.1,51.2,16.5,20.0,34.9,29.9,33.5,41.6,49.9,51.8,33.7,33.5,70.1,-5.7,,15,2.5,